N,q,N2_func,mobile,n,variance,std,N2,SNP,Nhom1,Nhom2,nhom1,nhom2,log10BF,transcript,Method_A,Method_B
11,0.005,5.0,1.0,1.0,0.054725,0.2339337513057917,1.0,0_0_0,1000,1000,2,5,1.1831060509173752,0,1.0,0.0
24,0.005,5.0,1.0,1.0,0.11939999999999999,0.3455430508634199,1.0,0_0_1,1000,1000,5,4,0.5494539644773805,0,1.0,0.0
39,0.005,5.0,1.0,1.0,0.194025,0.4404826897847406,1.0,0_0_2,1000,1000,9,11,0.12164588208027502,0,1.0,0.0
77,0.005,5.0,1.0,2.0,0.383075,0.6189305292195563,2.0,0_0_3,1000,1000,4,5,0.6409312155699777,0,1.0,0.0
61,0.005,5.0,1.0,2.0,0.303475,0.550885650566431,2.0,0_0_4,1000,1000,6,4,0.5614411291289273,0,1.0,0.0
89,0.005,5.0,1.0,4.0,0.44277500000000003,0.66541340533536,3.0,0_0_5,1000,1000,7,10,1.154826668512333,0,1.0,0.0
12,0.005,5.0,1.0,1.0,0.059699999999999996,0.2443358344574123,1.0,0_0_6,1000,1000,4,3,0.9247860794276118,0,1.0,0.0
97,0.005,5.0,1.0,4.0,0.482575,0.6946761835560508,3.0,0_0_7,1000,1000,10,8,0.6070600627753552,0,1.0,0.0
80,0.005,5.0,1.0,2.0,0.398,0.6308724118235002,2.0,0_0_8,1000,1000,3,6,0.7850942848481517,0,1.0,0.0
64,0.005,5.0,1.0,2.0,0.3184,0.5642694391866354,2.0,0_0_9,1000,1000,6,7,0.5203959457263293,0,1.0,0.0
72,0.005,5.0,1.0,6.0,0.35819999999999996,0.5984981202978,2.0,0_0_10,1000,1000,6,4,3.3082733456581224,0,1.0,0.0
199,0.005,5.0,1.0,5.0,0.990025,0.995,5.0,0_0_11,1000,1000,5,8,0.8033716908000582,0,1.0,0.0
194,0.005,5.0,1.0,6.0,0.96515,0.9824204802425487,5.0,0_0_12,1000,1000,4,5,1.5952369105778068,0,1.0,0.0
126,0.005,5.0,1.0,4.0,0.62685,0.7917385932237988,4.0,0_0_13,1000,1000,6,7,0.8002792815125485,0,1.0,0.0
111,0.005,5.0,1.0,3.0,0.5522250000000001,0.7431184293233483,3.0,0_0_14,1000,1000,8,5,0.26208807140227197,0,1.0,0.0
290,0.005,10.0,1.0,16.0,1.44275,1.201145286799228,15.0,0_0_15,1000,1000,4,4,5.650383211716715,0,1.0,0.0
185,0.005,5.0,1.0,8.0,0.920375,0.9593617670097137,5.0,0_0_16,1000,1000,6,5,2.14779265288929,0,1.0,0.0
43,0.005,5.0,1.0,2.0,0.213925,0.46252026982609096,2.0,0_0_17,1000,1000,4,2,1.1249663177437481,0,1.0,0.0
